#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         553    -5.15364    -5.32059   0.0185022
         554     -5.1554    -5.32029   0.0184712
         555    -5.15696       -5.32   0.0184402
         556    -5.15878    -5.31971   0.0184093
         557     -5.1603    -5.31942   0.0183785
         558    -5.16199    -5.31914   0.0183477
         559    -5.16374    -5.31886    0.018317
         560    -5.16587    -5.31859   0.0182864
         561    -5.16736    -5.31832   0.0182557
         562     -5.1696    -5.31805   0.0182252
         563    -5.17141    -5.31779   0.0181947
         564    -5.17356    -5.31754   0.0181642
         565    -5.17638    -5.31729   0.0181338
         566    -5.17928    -5.31704   0.0181034
         567    -5.18166    -5.31681    0.018073
         568    -5.18549    -5.31657   0.0180427
         569    -5.18895    -5.31635   0.0180124
         570    -5.19232    -5.31613   0.0179821
         571    -5.19605    -5.31592   0.0179518
         572    -5.19996    -5.31572   0.0179216
         573    -5.20447    -5.31553   0.0178914
         574    -5.20895    -5.31534   0.0178611
         575    -5.21307    -5.31516    0.017831
         576     -5.2183    -5.31499   0.0178008
         577    -5.22295    -5.31483   0.0177707
         578    -5.22758    -5.31468   0.0177406
         579    -5.23246    -5.31454   0.0177105
         580    -5.23712    -5.31441   0.0176805
         581    -5.24181    -5.31428   0.0176505
         582    -5.24562    -5.31417   0.0176205
         583    -5.24941    -5.31405   0.0175907
         584    -5.25316    -5.31395   0.0175609
         585    -5.25627    -5.31385   0.0175311
         586    -5.25931    -5.31376   0.0175014
         587    -5.26227    -5.31367   0.0174718
         588     -5.2659    -5.31359   0.0174423
         589    -5.26822    -5.31351   0.0174129
         590    -5.27044    -5.31344   0.0173835
         591    -5.27254    -5.31337   0.0173542
         592    -5.27468     -5.3133   0.0173251
         593     -5.2767    -5.31324   0.0172959
         594    -5.27815    -5.31318   0.0172669
         595    -5.27872    -5.31313    0.017238
         596    -5.27903    -5.31307   0.0172092
         597    -5.27953    -5.31301   0.0171804
         598    -5.27977    -5.31296   0.0171518
         599    -5.27946     -5.3129   0.0171233
         600     -5.2792    -5.31284   0.0170948
         601    -5.27855    -5.31279   0.0170665
         602    -5.27813    -5.31273   0.0170382
         603    -5.27764    -5.31267   0.0170101
         604    -5.27664    -5.31261    0.016982
         605    -5.27529    -5.31255    0.016954
         606    -5.27315    -5.31249   0.0169262
         607    -5.27144    -5.31242   0.0168984
         608    -5.26955    -5.31235   0.0168708
         609    -5.26735    -5.31227   0.0168433
         610    -5.26514     -5.3122   0.0168158
         611    -5.26233    -5.31211   0.0167885
         612    -5.25982    -5.31203   0.0167613
         613    -5.25701    -5.31194   0.0167342
         614    -5.25466    -5.31185   0.0167072
         615    -5.25233    -5.31175   0.0166803
         616    -5.25002    -5.31165   0.0166535
         617    -5.24686    -5.31154   0.0166269
         618     -5.2433    -5.31143   0.0166003
         619    -5.23982    -5.31132   0.0165739
         620    -5.23615     -5.3112   0.0165476
         621    -5.23294    -5.31107   0.0165215
         622    -5.22931    -5.31094   0.0164954
         623     -5.2261     -5.3108   0.0164695
         624    -5.22304    -5.31066   0.0164437
         625    -5.22052    -5.31052    0.016418
         626    -5.21814    -5.31037   0.0163925
         627    -5.21642    -5.31022    0.016367
         628    -5.21454    -5.31007   0.0163416
         629      -5.213    -5.30991   0.0163164
         630    -5.21247    -5.30976   0.0162912
         631     -5.2121     -5.3096   0.0162661
         632    -5.21312    -5.30945   0.0162411
         633    -5.21435     -5.3093   0.0162162
         634    -5.21611    -5.30915   0.0161913
         635    -5.21808    -5.30901   0.0161664
         636    -5.22131    -5.30887   0.0161416
         637    -5.22561    -5.30874   0.0161167
         638    -5.22988    -5.30862    0.016092
         639    -5.23451     -5.3085   0.0160672
         640    -5.24005     -5.3084   0.0160424
         641    -5.24583     -5.3083   0.0160177
         642    -5.25267    -5.30821    0.015993
         643    -5.25869    -5.30814   0.0159683
         644    -5.26518    -5.30807   0.0159437
         645    -5.27207    -5.30801    0.015919
         646    -5.27838    -5.30797   0.0158945
         647    -5.28434    -5.30793   0.0158699
         648    -5.29052     -5.3079   0.0158455
         649    -5.29686    -5.30789   0.0158211
